URL,Title,Author,Number of reviews,Number of ratings,Average rating,Pages,Publish year,Series,Genres,Awards,Places,minmax_norm_ratings,mean_norm_ratings
https://www.goodreads.com//book/show/7956.Treason,Treason,Orson Scott Card,420,7035,3.91,288,2006,0,"Science Fiction, Fiction, Fantasy",,,6.73,0.91
https://www.goodreads.com//book/show/28481.Dragon_Wing,Dragon Wing,Margaret Weis,625,26078,3.96,430,1990,1,"Fantasy, Fiction, Fantasy",,,6.88,1.06
https://www.goodreads.com//book/show/37796866-vox,Vox,Christina Dalcher,9002,55335,3.55,336,2018,0,"Fiction, Science Fiction, Dystopia",1.0,"Georgetown, Washington, D.C.",5.65,-0.17
https://www.goodreads.com//book/show/186437.Yarrow,Yarrow,Charles de Lint,86,2484,3.91,256,1997,1,"Fantasy, Fantasy, Urban Fantasy",,"Ottawa, Ontario",6.73,0.91
https://www.goodreads.com//book/show/17165913-the-shade-of-the-moon,The Shade of the Moon,Susan Beth Pfeffer,1229,9354,3.29,288,2013,1,"Young Adult, Science Fiction, Dystopia",,,4.87,-0.95
https://www.goodreads.com//book/show/100933.That_Hideous_Strength,That Hideous Strength,C.S. Lewis,1907,31459,3.89,534,2005,1,"Science Fiction, Fiction, Fantasy",2.0,England,6.67,0.85
https://www.goodreads.com//book/show/457015.Lullaby,Lullaby,Chuck Palahniuk,3052,93210,3.73,260,2003,0,"Fiction, Horror, Contemporary",1.0,,6.19,0.37
https://www.goodreads.com//book/show/76620.Watership_Down,Watership Down,Richard  Adams,14015,440939,4.06,478,1975,1,"Classics, Fiction, Fantasy",6.0,"Watership Down, Hampshire",7.18,1.36
https://www.goodreads.com//book/show/1129928.Random_Acts_of_Senseless_Violence,Random Acts of Senseless Violence,Jack Womack,323,2300,3.95,256,1995,1,"Science Fiction, Fiction, Science Fiction",,,6.85,1.03
https://www.goodreads.com//book/show/10075553-soft-apocalypse,Soft Apocalypse,Will McIntosh,451,2445,3.49,256,2011,0,"Science Fiction, Apocalyptic, Post Apocalyptic",,"Georgia, Savannah, Georgia",5.47,-0.35
https://www.goodreads.com//book/show/18079719-grasshopper-jungle,Grasshopper Jungle,Andrew  Smith,3307,16889,3.63,388,2014,1,"Young Adult, Science Fiction, LGBT",6.0,"Ealing, Iowa",5.89,0.07
https://www.goodreads.com//book/show/13931.Foxmask,Foxmask,Juliet Marillier,189,4872,4.11,560,2005,1,"Fantasy, Historical, Historical Fiction",,,7.33,1.51
https://www.goodreads.com//book/show/13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,5394,292145,4.36,815,2002,1,"Science Fiction, Fiction, Humor",,,8.08,2.26
https://www.goodreads.com//book/show/636108.Dr_Bloodmoney,Dr. Bloodmoney,Philip K. Dick,480,7466,3.68,298,2002,0,"Science Fiction, Fiction, Apocalyptic",2.0,"Point Reyes Station, California",6.04,0.22
https://www.goodreads.com//book/show/17333324-ancillary-justice,Ancillary Justice,Ann Leckie,8654,84803,3.97,416,2013,1,"Science Fiction, Fiction, Space",15.0,,6.91,1.09
https://www.goodreads.com//book/show/371316.The_Memoirs_of_a_Survivor,The Memoirs of a Survivor,Doris Lessing,245,2789,3.6,192,1995,0,"Fiction, Science Fiction, Science Fiction",,,5.8,-0.02
https://www.goodreads.com//book/show/15713052-the-fall,The Fall,David L.  Dawson,37,299,3.41,314,2012,1,"Fantasy, Young Adult, Science Fiction",,,5.23,-0.59
